SOCD,aspect,AWC,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,clay,dem,dtr,fwi,GPP,gppmax,landuse85,lstday,lstnight,ndvimax,ndvimean,ndvimin,ndvistd,ph,roughness,samt,sand,silt,slope,srad,tdchange,tpi,tri,twi,vapr,wind,WRB2
0.531865379,4.588034153,163,26.375,27.26666641,25.14999962,1613,295,4,86.31041718,818,15,401,29,11.75,69.11764526,88.58742523,34.29999924,17.29999924,17,26.64999962,25.16666603,31,195,15.01795959,17.10365105,5.442349911,2.253999949,4,15231,14746,0.711447418,0.508108556,0.629526317,0.240620568,6.099999905,5,316.7999878,37,32,0.11548318,16170.66699,1111,0.875,1.875,13.11461163,2.573333263,1.358333349,4
0.657142129,3.208160877,137,26.13750076,27.01666641,25.48333359,1893,358,37,62.04012299,865,146,146,507,9.858333588,78.8666687,61.16760254,33.20000076,20.70000076,12.5,25.98333359,27.01666641,23,287,13.95582867,5.013404369,1.839650035,2.392400026,12,15248,14745,0.47860527,0.440146953,0.568578959,0.147731066,5.099999905,9,313.2999878,59,18,0.10766793,17265.83398,2222,-0.5,2.5,15.26412582,2.56916666,1.508333325,1
0.717161094,4.588034153,83,26.41666603,27.23333359,25.21666718,1621,296,4,86.40444183,821,14,403,14,11.63333321,70.08032227,85.52864075,34.09999847,17.5,16.59999847,26.73333359,25.21666718,31,191,15.01795959,15.09636402,6.596483231,3.720799923,4,15230,14746,0.712578952,0.484156817,0.633394718,0.249297827,5.699999809,6,316.5,84,32,0.11548318,16107.33301,1111,-1.875,2.125,13.11461163,2.592499971,1.358333349,4
0.735229303,1.941687584,137,25.79166603,26.25,25.33333397,2397,360,17,63.67526627,1033,96,368,173,11.5,70.55213928,39.4757309,33.90000153,17.60000038,16.30000114,25.66666603,25.53333473,23,112,12.17332268,1.810742259,8.380116463,6.677400112,12,15275,14770,0.794815838,0.551436424,0.787605345,0.28810975,5.099999905,18,309.3999939,59,18,0.276639163,14078.75,2222,-5.25,6.25,12.24101543,2.745833397,0.891666651,1
0.753228218,5.034139633,83,24.92083359,26.53333282,22.13333321,1465,251,15,71.18881226,695,56,539,56,12.52500057,63.9030571,193.7367096,33.40000153,13.80000019,19.60000229,26.31666756,22.13333321,6,167,14.3243866,18.18767929,5.382216454,3.396199942,33,15288,14706,0.662789524,0.404293865,0.547447443,0.256592095,5.699999809,1,298.8999939,84,10,0.022648145,15429.16699,5522,0.5,0.5,15.8422718,2.357500076,1.508333325,9
0.776044121,3.965433359,120,26.17499924,26.85000038,25.35000038,1875,286,13,66.73279572,811,68,455,138,10.75,74.65277863,60.35878372,33,18.60000038,14.39999962,26.26666641,25.43333435,24,160,11.24254417,3.915630102,8.011449814,7.072800159,3,15125,14738,0.814815819,0.494527429,0.763394773,0.321385682,5.300000191,26,314.6000061,56,20,0.527059615,13707.58301,1111,3.875,7.375,11.59639549,2.741666794,1.200000048,1
0.80576061,5.616627693,137,25.17499924,25.96666718,23.88333321,1685,251,22,61.97672653,717,86,554,86,10.8166666,70.69716644,90.66671753,31.89999962,16.60000038,15.29999924,25.70000076,23.88333321,23,267,10.8521347,3.81967473,0,9.241000175,3,15162,14700,0.7726053,0.540114045,0.62297374,0.230094254,5.099999905,32,302.5,59,18,0.683401406,13809.5,1111,3.375,10.625,11.33660793,2.512500048,1.208333373,1
0.87012454,4.092139721,83,25.41250038,26.98333359,22.68333244,1299,214,20,67.62327576,597,66,453,66,11.79166698,63.39605331,189.1983948,33.40000153,14.80000019,18.60000229,26.86666679,22.68333244,6,115,14.35443115,23.31430054,7.352683544,6.248600006,33,15177,14733,0.775131643,0.486593217,0.663973749,0.291171759,5.699999809,5,304.8999939,84,10,0.061609592,15253.58301,5222,-0.75,1.25,13.74291992,2.424999952,1.600000024,9
0.888394797,2.642246008,137,26.79583359,27.11666679,26.25,2253,232,153,14.73974228,675,478,550,537,10.10833359,89.45426941,36.02135086,32.40000153,21.10000038,11.30000114,26.71666718,26.36666679,23,182,13.49797344,3.062011003,8.696550369,8.47879982,21,14912,14694,0.832631648,0.505153537,0.833447456,0.343385071,5.099999905,18,321.2999878,59,18,0.17947793,13838.5,3311,-5.25,6,12.239942,2.624166727,1.208333373,1
0.92657779,1.33705318,137,25.79166603,26.25,25.33333397,2397,360,17,63.67526627,1033,96,368,173,11.5,70.55213928,39.4757309,33.90000153,17.60000038,16.30000114,25.66666603,25.53333473,23,108,12.17332268,1.810742259,8.380116463,6.677400112,12,15282,14784,0.794815838,0.551436424,0.787605345,0.28810975,5.099999905,19,309.3999939,59,18,0.309208483,14078.75,2222,-3.25,6.5,11.78313828,2.745833397,0.891666651,1
